Query,Complexity,Word_Count,Time
What is the number of legs of a crab,2,9,1314000
What is the leg count of a spider,1,8,1018000
What is the average lifespan of the fastest land animal of Earth,2,12,2762000
What is the average lifespan of the largest mammal of Earth,2,11,1434000
What is the average lifespan of a cheetah,1,8,1088000
What is the average lifespan of a dog,1,8,1094000
What is cheetah's average lifespan,1,5,888000
What is elephant's average lifespan,1,5,1198000
How many lives does a cat have,1,7,878000
What is the weight of largest cat in the most populous country in Asia,3,14,1862000
What is the lifespan of the slowest land animal in the world,2,12,3358000
Which is the country of the world's richest man,2,9,1914000
world's richest man's country,2,4,1082000
Which is the 2nd largest satellite of the largest planet in the solar system,2,14,2044000
Which is the largest satellite of the 2nd largest planet in the solar system,2,14,1646000
What is the surface area of the 2nd largest planet in the solar system,2,14,1652000
What is the surface temperature of solar system's 2nd smallest planet,2,11,3054000
What is solar system's 2nd smallest planet's surface temperature in kelvin,3,11,2306000
What is solar system's 2nd smallest planet's major constituent,2,9,1476000
solar system's 4th planet's radius,2,5,910000
Who was the oldest person in the world,1,8,1302000
What is isobaric heat capacity of an ideal gas,1,9,1184000
What is specific heat capacity of steel,1,7,984000
Which mineral has highest concentration of potassium,1,7,1052000
What is the atomic mass of the heaviest element,1,9,1138000
What is the atomic mass of the lightest element,1,9,1368000
What is the population of the capital of China,2,9,1156000
What is the population of the capital of India,2,9,2470000
What is the population of the capital of United States,2,10,1556000
What is the population of the capital of Indonesia,2,9,1150000
What is the population of the capital of Pakistan,2,9,1148000
What is the population of the capital of Brazil,2,9,1214000
What is Nigeria's capital's population,2,5,1230000
What is Nigeria's largest city's capital's population,3,7,2788000
What is Bangladesh's capital's population,2,5,994000
What is Russia's capital's population,2,5,1088000
What is Mexico's capital's population,2,5,1010000
What is Mexico's largest city's capital's population,3,7,1196000
What is Mexico's population,1,4,754000
What is 50 percent of Mexico's population,2,7,1316000
What is the capital of Japan,1,6,1050000
What is the capital of Ethiopia,1,6,918000
What is the capital of Philippines,1,6,1136000
What is the capital of Egypt,1,6,900000
What is the capital of Vietnam,1,6,926000
What is the capital of Congo,1,6,916000
What is the population of Turkey's capital,2,7,1148000
What is the population of Iran's capital,2,7,1094000
What is the population of Germany's capital,2,7,1728000
What is the population of Thailand's capital,2,7,1168000
What is the population of UK's capital,2,7,1094000
What is France's capital,1,4,926000
What is Italy's capital,1,4,804000
What is Tanzania's capital,1,4,866000
What is Myanmar's capital,1,4,1138000
What is Kenya's capital,1,4,746000
What is Karnataka's capital's population,2,5,1002000
What is California's capital's population,2,5,1226000
What is the population of the capital of Karnataka,2,9,1150000
What is the population of capital of the most populous country in the continent of China,4,16,1870000
What is the population of capital of the most populous country in the continent of India,4,16,1934000
What is the population of capital of the most populous country in the continent of United States,4,17,3068000
What is the population of capital of the most populous country in the continent of Indonesia,4,16,2210000
What is the population of capital of the most populous country in the continent of Pakistan,4,16,1870000
What is the population of capital of the most populous country in the continent of Brazil,4,16,1870000
What is the population of capital of the most populous country in Nigeria's continent,4,14,3164000
What is the population of capital of the most populous country in Bangladesh's continent,4,14,4506000
What is the population of capital of the most populous country in Russia's continent,4,14,1888000
What is the population of capital of the most populous country in Mexico's continent,4,14,1886000
What is the population of capital of the most populous country in Japan's continent,4,14,1906000
What is the population of capital of the Ethiopia's continent's largest country,4,12,2692000
What is the population of capital of the largest country in Philipines's continent,4,13,2214000
What is the population of continent of the Egypt,2,9,1230000
What is the population of continent of the Vietnam,2,9,1228000
What is the population of Vietnam's continent's largest country's capital,4,10,1928000
What is the population of smallest country of Turkey's continent,3,10,1476000
What is the population of smallest country in Turkey's continent,3,10,1480000
What is the population of capital of smallest country of Iran's continent,4,12,2988000
What is the population of Germany's continent's largest country's capital,4,10,1634000
What is the Thailand's continent's smallest country's capital's population,4,9,1516000
What is the population of capital of the smallest country in the continent of United Kingdom,4,16,1900000
What is the population of capital of the most populous country in the continent of France,4,16,2280000
What is the population of capital of the most populous country of France's continent,4,14,4274000
What is the population of capital of the largest island in the continent of Italy,4,15,1772000
What is the population of capital of the most populous country in the continent of Tanzania,4,16,2980000
What is the population of capital of largest country in the continent of the most populous country in the continent of South Africa,6,23,2766000
What is the population of the continent of Myanmar,2,9,1150000
What is the population of the continent of Kenya,2,9,2278000
What is the population of capital of the most populous island in the continent of South Korea,4,17,2038000
What is the population of capital of the largest country in the continent of Colombia,4,15,2584000
What is the population of capital of the smallest island in the continent of Spain,4,15,3180000
Who is the president of the largest country in the continent of China,3,13,1608000
Who is the president of the largest country in the continent of India,3,13,1586000
Who is the president of the largest country in the continent of United States,3,14,2518000
Who is the president of the largest country in the continent of Indonesia,3,13,2676000
Who is the president of the largest country in the continent of Pakistan,3,13,1614000
Who is the president of the largest country in the continent of Brazil,3,13,1634000
What is the capital of the largest state in the largest country of North America,3,15,1864000
What is the capital of the largest state in the largest country of South America,3,15,2088000
What is the capital of the largest state in the largest country of Europe,3,14,4364000
What is the capital of the largest state in the largest country of Asia,3,14,4034000
Who is the president of Nigeria,1,6,904000
Who is the president of Bangladesh,1,6,2190000
Who is Russia's president,1,4,1122000
Who is Brazil's president,1,4,814000
Who is Japan's prime minister,1,5,1646000
Who is South Korea's prime minister,1,6,1170000
Who is the president of the largest country in Japan's continent,3,11,1578000
Who is the president of the largest country in Ethiopia's continent,3,11,1580000
What is the Egypt's continent's area,2,6,1122000
What is the area of the largest country in the continent of Egypt,3,13,1606000
What is the area of the country of the president of the largest country in the continent of Vietnam,5,19,2212000
Who is the richest man in the largest country in the continent of Congo,3,14,1772000
